सुभाषितम्	विषयः	भाषा	वक्ता	स्रोतांसि	रस्यता	रसः। भावः	विवरणम्	सङ्केतः	छन्दः	अर्थालङ्काराः	शब्दालङ्काराः	स्मरणीय-पदानि
परमर्मघट्टनादौ खलस्य यत् कौशलं न तत् साधोः। छिद्रं करोति सूची तदनु पिधत्ते सपदि तन्तुः॥	खलः	संकृतम्										
खलः करोति दुर्वृत्तं नूनं फलति साधुषु॥ दशाननोऽहरत्‌ सीतां बन्धनं तु महोदधेः॥ 	खलः	संकृतम्										
 कस्त्वं वृद्ध खलेश्वरोऽहमिह किं घोरे वने वर्तसे सिंहव्याघ्रवृकादिभिः प्रकृतिभिः खाद्योऽहमित्याशयः। कस्मात् कष्टमिदं त्वयाध्यवसितं मद्देहमांसाशनाः प्रागुत्पन्ननृमांसभक्षणधियस्तेऽश्नन्तु सर्वानिति॥  	खलः											
लब्धोदयः खलजनः प्रथमं स्वजने करोति सन्तापं। उद्गच्छन् दवदहनः स्वजन्मदं दारु निर्दहति॥	खलः, द्रोहः	संकृतम्	सुन्दर-पाण्ड्यः	नीतिद्विषष्टिका								
गोमूत्रमात्रेण पयो विनष्टं तक्रस्य गोमूत्र शतेन किम् वा। अत्यल्पपापैर्विपदः शुचीनां पापात्मनां पापशतेन किं वा॥ 	खलः, पापम्	संकृतम्										
अगजाननपद्मार्कं गजाननमहर्निशम्। अनेकदन् तं भक्तानाम् एकदन्तम् उपास्महे॥	गणपति-स्तुतिः	संकृतम्										
पुण्ड्रेक्षुदलनक्रीडाव्याजेन जनकद्विषः । मथ्नन्धनूंषि कामस्य श्रेयसे वोऽस्तु विघ्नजित् ॥	गणेशः	संकृतम्	राजारामज-शङ्करः									
अन्यो ऽपि चन्दनतरोर् महनीयमूर्तेः सेकार्थम् उत्सहति तद्गुणबद्धतृष्णः । शाखोटकस्य पुनर् अस्य महाशयो ऽयम् अम्भोद एव शरणं यदि निर्गुणस्य ॥	गुणवत्त्वम्	संकृतम्										
ज्ञाने मौनं क्षमा शक्तौ त्यागे श्लाघाविपर्यय: । गुणा गुणानुबन्धित्वात्तस्य सप्रसवा इव ॥२२॥	गुणाः	संकृतम्										
कौशेयं कृमिजं सुवर्णमुपलाद दूर्वाऽपि गोरोमतः, पङ्कात्तामरसं शशाङ्क उदधेरिन्दीवरं गोमयात् । काष्ठादग्निरहेः फणादपि मणिर्गोपित्ततो रोचना, प्राकाश्यं स्वगुणोदयेन गुणिनो गच्छन्ति किं जन्मना ॥  	गुणाः, गुणोद्भवः	संकृतम्										
 क्षान्तिश्चेत्कवचेनकिं? किमरिभिः क्रोधोऽस्तिचेद्देहिनां ज्ञातिश्चेदनलेन किं? यदि सुहृत् दिव्यौषधैः किं फलम् ?। किं सर्पैर्यदिदुर्ज्जनाः किमु धनैर्विद्यानवद्या यदि व्रीडा चेत्किमुभूषणैः सुकविता यद्यस्ति राज्येन किं ?	गुणाः, रसिकः											
मन्मातुर्नामधेयं तत्पावनादपि पावनम् । गोमांसरसिके जिह्वे स्पृष्ट्वा मा मलिनीकुरु ॥ 	गौः	संकृतम्	राजारामज-शङ्करः									
अयं काणः शुक्रो विषम-चरणः सूर्यतनयः क्षताक्षोऽयं राहुः विकल-महिमा शीतकिरणः ।  अजानानः तेषाम् अपि नियत-कर्म-स्वकफलं ग्रह-ग्राम-ग्रस्ता वयमिति जनोऽयं प्रलपति ॥ 	ग्रहबलम्	संकृतम्										
क्षोणीतले शयितुमिच्छति यन्नृपोऽपि यद्वा तनौ श्रमकणानलसोऽपि धत्ते । यद्वल्लभाधरसुधारसपायिनोऽपि प्रीतिर्जले किमपि तत्तव घर्म मर्म ॥	ग्रीष्मः	संकृतम्	राजारामज-शङ्करः									
छाया संश्रयते तलं विटपिनां श्रान्तेव पान्थैः समं मूलं याति सरोजलस्य जडता म्लानेव मीनैः सह। आचामत्यहिमांशुदीधितिरपस् तप्तेव लोकैः समं निद्रा गर्भगृहं सह प्रविशति क्लान्तेव कान्ताजनैः॥ 	ग्रीष्मः	संकृतम्										
  ग्रीष्मकाले दिनं दीर्घं शीतकाले तु शर्वरी। परोपतापिनः सर्वे प्रायशो दीर्घजीविनः॥ 	ग्रीष्मः 	संकृतम्										
दिनतप्तां सुतां वीक्ष्य भूमिं माता विभावरी । ओषधीशौषधेर्धारामवर्षत्कौमुदीं सिताम्॥	चन्द्रः	संकृतम्	हेब्बललु-राघवेन्द्रः									
 नक्तं यो धवलेन्दुमण्डलगतः संलक्ष्यते कालिमा तं पङ्कं शशकं घनान्धतमसं मूढाः समाचक्षते । एतन्मन्त्रिवणिक्जनैः सुकृतिभिश्चन्द्रस्य लोकं गतैः साकं नीतमिहार्जितं भुवि पुरा कृष्णं धनं मन्महे ॥ 	चन्द्रः	संकृतम्										
अङ्कं केऽपि शशङ्किरे जलनिधेः पङ्कं परे मेनिरे: सारङ्गं कतिचिच्च सञ्जगदिरे भूच्छायमैच्छन् परे । इन्दौ यत् दलितेन्द्रनीलशकलश्यामं दरीदृश्यते: तत्सान्द्रं निशि पीतमन्धतमसं कुक्षिस्थमाचक्षते ॥ 	चन्द्रः	संकृतम्										
यदभावि न तद्भावि भावि चेन्न तदन्यथा। इति चिन्ताविषघ्नोऽयं बोधो भ्रमनिवर्तकः॥	चिन्ता	संकृतम्										
उन्मीलन्नेत्रपत्रोज्ज्वलमलकलतालोलरोलम्बडिम्बं पाणावादाय शोणाम्बुरुहमिव जवादात्मनो मुण्डमेव। ग्रीवानालोद्यदस्रासवरसरसनक्षीबमक्लीबवृत्त्या नृत्यारम्भोत्सुकायै भवतु भगवति च्छिन्नमस्ते नमस्ते॥	छिन्नमस्ता	संकृतम्	राजारामज-शङ्करः									
गिरौ कलापी गगने पयोदः लक्षान्तरे ऽर्कश्च जले च पद्मम्।  इन्दु: द्विलक्षे कुमुदश्च बन्धुर् यो यस्य मित्रं न हि तस्य दूरम्।। 	जगदानन्दः, प्रकृतिः	संकृतम्										
ऊढा येन महाधुरः सुविषमे मार्गे सदैकाकिना सोढो येन कदाचिदेव न निजे गोष्ठेऽन्यशौण्डध्वनिः  आसीद्यस्तु गवां गणस्य तिलकस्तस्यैव सम्प्रत्यहो धिक्कष्टं धवलस्य जातजरसो गोः पण्यं उद्घोष्यते । ।	जरा	संकृतम्										
गात्रं सङ्कुचितं गतिर्विगलिता भ्रष्टा च दन्तावलिर्दृष्टिर्नश्यति वर्धते बधिरता वक्त्रं च लालायते ।  वाक्यं नाद्रियते च बान्धवजनो भार्या न शुश्रूषते हा कष्टं पुरुषस्य जीर्णवयसः पुत्रोऽप्यमित्रायते ॥ 	जरा	संकृतम्										
दिग्विभ्रमं दशनखण्डनम् अङ्गभङ्ग-केशग्रहं रतिविधौ मदनादरं च । श्वासप्रकम्पजडभावसुघूर्णितानि धत्ते जरा प्रणयिनीव मयोपगूढा 	जरा	संकृतम्										
 आपाण्डुराः शिरसिजास्त्रिवली कपोले दन्तावली विगलिता न च मे विषादः। एणीदृशो युवतयः पथि मां विलोक्य तातेति भाषणपराः खलु वज्रपातः॥  	जरा, कामः	संकृतम्										
अनाकृष्टस्य विषयैर्विद्यानां प्रारदृश्वन: । तस्य धर्मरतेरासीद्वृद्धत्वं जरसा विना ॥	जरा, प्राज्ञः	संकृतम्										
दृष्टा चन्द्रसमुद्गमाः शतमतिक्रान्ताः शतं प्रावृषः   सीमामेष न जात्वलङ्घत किलेत्याब्धिर् न विश्वस्यताम् । योऽसौ शेत इवायमेव विधिना वामेन चेच्चाल्यते  का सीमेति कदास्ति के जनपदाः का मेदिनी का दिशः ॥  	जागरणम्, भाग्यम्, समुद्रः	संकृतम्										
 खादनेन च पानेन च तथा गृहीतो मण्डलोऽसत्या। यथा जारमभिनन्दति भुक्कति गृहस्वामिन्येति॥	जारता	संकृतम्										
आवयोः सङ्गमो नाथ पुनः कुत्र भविष्यति ।  धर्मशास्त्रं प्रमाणं चेत् कुम्भीपाके भविष्यति । । 	जारता, पापम्, प्रलोभः	संकृतम्										
 अन्ययान्यवनितागतचित्तं चित्तनाथमभिशङ्कितवत्या। पीतभूरिसुरयापि न मेदे, निर्वृतिर्हि मनसो मदहेतुः॥	जारता, संशयः, मदः 	संकृतम्										
प्रतिवादिनी च भार्या परगृहसेवा च परगृहे भुक्तिः। क्षिप्रं जरयति पुरुषं निचैर्वासः प्रवासश्च॥	जीवन-यात्रा	संकृतम्	सुन्दर-पाण्ड्यः	नीतिद्विषष्टिका								
अपारे काव्यसंसारे कविरेक: प्रजापतिः। यथास्मै रोचते विश्वं तथा वै परिवर्तते ॥	जीवनस्य काव्यत्वम्, विधिः	संकृतम्										
दुर्बोधं यदतीव तद्विजहति स्पष्टार्थमित्युक्तिभिः  स्पष्टार्थेष्वतिविस्तृतिं विदधति व्यर्थैः समासादिकैः ।  अस्थानेऽनुपयोगिभिश्च बहुभिर्जल्पैर्भ्रमं तन्वते  श्रोतॄणामिति वस्तुविप्लवकृतः सर्वेऽपि टीकाकृतः ॥	टीका	संकृतम्										
अपि क्रियार्थं सुलभं समित्कुशं जलान्यपि स्नानविधिक्षमाणि ते ।  अपि स्वशक्त्या तपसि प्रवर्तसे शरीरमाद्यं खलु धर्मसाधनम् ।। 	तपः, शरीरम्	संकृतम्										
 दारिद्र्यशीलोऽपि नरस्तमाखुं नैव मुञ्चति। निवारितोऽपि मार्जारस्तमाखुं नैव मुञ्चति॥	तमाखुः	संकृतम्										
  तमाखुपत्रं राजेन्द्र भज माज्ञानदायकम्। तमाखुपत्रं राजेन्द्र भज माज्ञानदायकम्॥	तमाखुः, गणेशः	संकृतम्										
शास्त्रार्थान् तत्त्वतो ज्ञात्वा चरिष्यामो वयं सदा । न नो व्यसनिता काचिद् विमति-प्रतिबोधने ॥	तर्कः, वितण्डः	संकृतम्										
दुःसहसन्तापभयात् सम्प्रति मध्यस्थिते दिवसनाथे  छायामिव वाञ्छन्ती छायापि गता तरुतलानि	तापः	संकृतम्										
मौनं कालविलम्बश्च प्रयाणं भूमिदर्शनम् । भ्रुकुटिश्चान्यवार्ता च नकारः षड्विधः स्मृतः ॥	तिरस्कारः	संकृतम्										
 सिंहः शिशुरपि निपतति मदमलिनकपोलभित्तिषु गजेषु। प्रकृतिरियं सत्त्ववतां न खलु वयस्तेजसो हेतुः॥ 8 ॥ 	तेजः, तारुण्यम्											
बालाया नवसङ्गमे निपुणतां प्रेक्ष्यान्यथाशङ्किनो भर्तुश्चित्तमवेक्ष्य पङ्कजमुखी तत्पार्श्वकुड्येऽलिखत्। एकं भद्रमतङ्गजं तदुपरि क्रोधात् पतन्तं शिशुं सिंहीगर्भविनिःसृतार्धवपुषं दृष्ट्वा स हृष्टोऽभवत्॥	तेजः, तारुण्यम्, रतिः											
आढ्यस्त्यजति चेद्भोगांस्तत्रास्त्येव गुणो महान् ।  दरिद्रैस्त्यज्यते भोग इति केयं विडम्बना ॥	त्याग-दम्भः	संकृतम्	राजारामज-शङ्करः									
सहसा विदधीत न क्रियामविवेकः परमापदां पदम् । वृणुते हि विमृष्यकारिणं गुणलुब्धाः स्वयमेव सम्पदः ॥	त्वरा, आपत्	संकृतम्										
आ परितोषाद्विदुषां न साधु मन्ये प्रयोगविज्ञानम् । बलवदपि शिक्षितानामात्मन्यप्रत्ययं चेतः ॥	दक्षता-परीक्षा	संकृतम्										
अशक्तस्तु भवेत्साधुर्ब्रह्मचारी च निर्धनः। व्याधितो देवभक्तश्च वृद्धा नारी पतिव्रता॥	दम्भः	संकृतम्										
०१८२-१ अगाधजलसंचारी विकारी न च रोहितः । ०१८२-२ गण्डूषजलमात्रे तु शफरी फर्फरायते ।।	दम्भः	संकृतम्										
उत्तमो नातिवक्ता स्यात् अधमो बहु भाषते । न काञ्चने ध्वनिस्तादृक् यादृक् कांस्ये प्रजायते ॥४॥ 	दम्भः	संकृतम्										
अल्पाक्षररमणीयं यःकथयति निस्चितं स खलु वाग्मी। बहुवचनमल्पसारं यः कथयति विप्रलापी सः॥ 	दम्भः	संकृतम्										
अज्ञः सुखमाराध्यः सुखतरमाराध्य्ते विशेषज्ञ: । ज्ञानलवदुर्विदग्धं ब्रह्मापि नरं न रञ्जयति ॥	दम्भः	संकृतम्										
गुणेषु क्रीयतां यत्नः किमाटोपैः प्रयोजनम् विक्रीयन्ते न घण्टाभिः गावः क्षीरविवर्जिताः	दम्भः	संकृतम्										
दिव्यं चूतफलं प्राप्य न गर्वं याति कोकिलः पीत्वा कर्दमपानीयं भेको बकबकायते  	दम्भः	संकृतम्										
सदनम् उपगतोऽहं पूर्वम् अंभोज-योनेः सपदि मुनिभिः उच्चैः आसनेषूज्झितेषु । सशपथं अनुनीय ब्रह्मणा गोमयांभः परिमृजित-निजोरौ आशु संवेशितोऽस्मि ।	दम्भः	संकृतम्										
अशक्तस् तस्करस् साधुः कुरूपा चेत् पतिव्रता रोगी च देवताभक्तो वृद्धा वेश्या तपस्विनी	दम्भः, दमः	संकृतम्										
 पीठीप्रक्षालणेन क्षितिपतिकथया सज्जनानां प्रवादैः प्रातर्नीत्वार्धयामं कुशकुसुमसमारम्भणव्यग्रहस्ताः। पश्चादेते निमज्जत्पुरयुवतिकुचाभोगदत्तेक्षणार्धाः प्राणायामापदेशादिह सरिति सदा वासराणि क्षिपन्ति॥ 	दम्भः, कामः	संकृतम्										
नास्माकं जननी तथोज्ज्वल-कुला सत्-श्रोत्रियाणां पुनः व्यूढा काचन कन्यका खलु मया तेनास्मि ताताधिकः । अस्मत्-श्यालक-भागिनेय-दुहिता मिथ्याभिशप्ता यतः तत् संपर्कवशात् मया स्वगृहिणी प्रेयस्यपि प्रोज्झीता 	दम्भः, कुलम्	संकृतम्										
उच्चैरपि वक्तव्यं यत्किञ्चिदजानताऽपि पुरुषेण। मूढा बहुमन्यन्ते विदुषामपि संशयो भवति॥	दम्भः, वितण्डः, कुपण्डितः	संकृतम्										
अबद्धो वा सुबद्धो वा कुन्तीपुत्रो विनायकः।	दम्भः, वितण्डः, कुपण्डितः	संकृतम्										
स्नानं सिन्धुजले विधाय जनतासन्ने निषण्णस्तटे  काषायेण घनावगुण्ठिततनुः प्राप्तः परिव्राजकः। सूपापूपघृतोत्तरा मधुमती भिक्षा यतो लभ्यते यस्मिन् वा गतभर्तृका युवतयस्तत्तद्गृहं ध्यायति॥	दम्भः, वैराग्य-दम्भः,	संकृतम्										
 स्नायं स्नायमनारतं धनवतामग्रे निरीहव्रताः प्रायो मृत्तिलदर्भसंग्रहरताः सम्मोहयन्तो जगत्। अम्भःकेलिकृतावतारतरुणीनीरन्ध्रवक्षोरुह- द्वन्द्वालोकनकूणितेक्षणयुगं ध्यायन्त्यमी दाम्भिकाः॥  	दम्भः, वैराग्य-दम्भः, स्त्री-सौन्दर्यम्	संकृतम्										
 प्रामाण्यमाक्षिपति साधयतां शिवादीन् देवानभीः किमपि दुर्मतिरागमानाम्। पुत्रे शिशौ विकृतिमीषदवेक्ष्य भीतो धावत्ययं प्रतिनिशं सबलिः श्मशानम्॥	दम्भः, संशय-दम्भः	संकृतम्										
भोगे रोगभयं कुले च्युतिभयं वित्ते नृपालाद्भयं माने दैन्यभयं बले रिपुभयं रूपे जराया भयम् ।  शास्त्रे वादभयं गुणे खलभयं काये कृतान्ताद्भयं सर्व वस्तु भयान्वितं भुवि नृणां वैराग्यमेवाभयम् ॥	दर्प-निग्रहः	संकृतम्										
गौरवं प्राप्यते दानात्, न तु वित्तस्य संचयात्। स्थिति: उच्चै: पयोदानां, पयोधीनां अध: स्थिति:॥	दानम्	संकृतम्										
तं वेधा विदधे नूनं महाभूतसमाधिना । तथा हि सर्वे तस्यासन्परार्थैकफला गुणा: ॥२९	दानम्	संकृतम्										
दिल्लीश्वरो वा जगदीश्वरो वा मनोरथान्पूरयितुं समर्थः । अन्यैर्नृपैर्यत् परिदीयमानं शाकाय वास्याल्लवणाय वा स्यात् ॥	दानम्	संकृतम्	जगन्नाथः									
दवदहनजटालज्वालया संहतानाम् परिगलितलतानां म्लायतां भूरुहाणाम् । अयि जलधर शैलश्रेणिशृङ्गेषु तोयं  वितरसि बहु कोऽयं श्रीमदस्तावकीनः ॥	दानम्, पात्रम्	संकृतम्		भामिनीविलासः (शोधितम्)								
गते प्रेमाबन्धे प्रणयबहुमाने विगलिते निवृत्ते सद्भावे जन इव जने गच्छति पुरः ।  तद् उत्प्रेक्ष्योत्प्रेक्ष्य प्रियसखि गतांस्तांश्च दिवसान् न जाने को हेतुर्दलति शतधा यन् न हृदयम् ॥	दाम्पत्यम्	संकृतम्	विज्जिका									
ता एव धन्याः विरहातुरा याः प्राणान् विशङ्कं श्लथयन्ति यन्ति । मत्प्राणनाथस्य विना ह्यनुज्ञां मुञ्चन्ति प्राणा अपि नैव देहम् ॥	दाम्पत्यम्		सुहासः									
तथाभूदस्माकं प्रथममविभक्ता तनुरियं ततो न त्वं प्रेयानहमपि हताशा प्रियतमा ।  इदानीं नाथस्त्वं वयमपि कलत्रं किमपरं मयाप्तं प्राणानां कुलिशकठिनानां फलमिदम् ॥ 	दाम्पत्यम्, शृङ्गारः	संकृतम्										
उत्तिष्ठ क्षणमेकमुद्वह सखे दारिद्र्यभारं मम श्रान्तम्तावदहं चिरान्मरणजं सेवे त्वदीयं सुखम् । इत्युक्तं धनवर्जितस्य वचनं श्रुत्वा श्मशाने शवो 'दारिद्र्यान्मरणं वरं वरमिति ज्ञात्वैव तूष्णीं स्थितः ॥	दारिद्र्यम्	संकृतम्										
उन्नम्योन्नम्य तत्रैव निर्धनानां मनोरथाः हृदयेष्वेव लीयन्ते विधवास्त्रीस्तनाविव॥	दारिद्र्यम्	संकृतम्										
हेतुप्रमाणयुक्तं वाक्यं न श्रूयते दरिद्रस्य। अप्यस्पष्टं वक्यमनर्थं पूज्यं समृद्धस्य॥	दारिद्र्यम्	संकृतम्										
तानीन्द्रियाणि सकलानि तदेव कर्म सा बुद्धिरप्रतिहता वचनं तदेव । अर्थोष्मणा विरहितः पुरुषः स एव त्वन्यः क्षणेन भवतीति विचित्रमेतत् ॥ 	दारिद्र्यम्	संकृतम्										
निर्धनं निधनमेतयोर्द्वयोस्तारतम्यविधिमुग्धचेतसा। बोधनाय विधिना विनिर्मिता रेफ एव जयवैजयन्तिका॥ 	दारिद्र्यम्											
एको हि दोषो गुणसन्निपाते निमज्जतीन्दोरिति यो बभाषे ।  नूनं न दृष्टं कविनापितेन दारिद्र्यमेकं गुणराशिनाशि॥	दारिद्र्यम्, दोषः	संकृतम्										
 तावद्विद्यानवद्या प्रभवति विदुषां तावदाचारधारा तावद्गाम्भीर्यशौर्यमधुरमधुरिमाडम्बरो वाग्विलासाः। यावत्पाकाधिकाराकुलितकुलवधूप्रेषितापत्यवक्त्राद्धे बाबू नास्ति तैलं न च लवणकणेत्यादिवाचां प्रचारः॥	दारिद्र्यम्, व्यवहारः, जीवन-यात्रा	संकृतम्										
 गुरुर्गर्वात् कविर्द्वेषाद् यतिर्भोगपरिग्रहात् । नृपःपापाद् द्विजःक्रोधात् सा विद्या वार्यते यया ॥	दुर्गुणाः	संकृतम्	क्षेमेन्द्रः									
एके सत्पुरुषाः परार्थघटकाः स्वार्थं परितज्य ये सामान्यास्तु परार्थमुद्यमभृतः स्वार्थाऽविरोधेन ये । तेऽमी मानुषराक्षसाः परहितं स्वार्थाय निघ्नन्ति ये ये तु घ्नन्ति निरर्थकं परहितं ते के न जानीमहे ।।	दुर्जनाः	संकृतम्	भर्तृहरिः									
शैशवे ध्वस्तविद्यानां यौवने विषयैषिणां वार्धक्ये शनिवृत्तीनां रोगेणान्ते तनुत्यजाम्	दुर्जीवनम्	संकृतम्										
न ध्यातं पदमीश्वरस्य विधिवत्संसारविच्छित्तये स्वर्गद्वारकवाटपाटनपटुर्धर्मोऽपि नोपार्जितः । नारी पीनपयोधरोरुयुगलं स्वप्नेऽपि नालिङ्गितं मातुः केवलमेव यौवनवनच्छेदे कुठारा वयम् ॥ ४५॥	दुर्जीवनम्, सुजीवनम्	संकृतम्										
नाभ्यस्ता प्रतिवादिवृन्ददमनी विद्या विनीतोचिता खड्गाग्रैः करिकुम्भपीठदलनैर्नाकं न नीतं यशः ।  कान्ताकोमलपल्लवाधररसः पीतो न चन्द्रोदये तारुण्यं गतमेव निष्फलमहो शून्यालये दीपवत् ॥  	दुर्जीवनम्, सुजीवनम्	संकृतम्										
लाभविघ्नाः - कामः कोपः साध्वसं कारुण्यं ह्रीरनार्यभावो मानः सानुक्रोशता परलोकापेक्षा धार्मिकत्वं अत्यागित्वं दैन्यं असूया हस्तगतावमानो दौरात्म्यं अविश्वासो भयं अप्रतीकारः शीत उष्णवर्षाणां आक्षम्यं मङ्गलतिथिनक्षत्र इष्टित्वं इति नक्षत्रं अति पृच्छन्तं बालम् अर्थोऽतिवर्तते । अर्थो ह्यर्थस्य नक्षत्रं किं करिष्यन्ति तारकाः	दैवम्	संकृतम्	चाणक्यः	अर्थशास्त्रम्								
खल्वाटो दिवसेश्वरस्य किरणैस्सन्तापितो मस्तके गच्छन्देशमनातपं द्रुतगतिस्तालस्य मूलं गतः ।  तत्राप्यस्य महाफलेन पतता भग्नं सशब्दं शिरः प्रायो गच्छति यत्र दैवहतकस्तत्रैव यान्त्यापदः ॥  	दौर्भाग्यम्, भाग्यम्	संकृतम्										
गजभुजङ्गमयोरपि बन्धनं शशिदिवाकरयोर्ग्रहपीडनम्‌ ।  मतिमतां च समीक्ष्य दरिद्रतां विधिरहो बलवानिति मे मतिः । 	दौर्भाग्यम्, भाग्यम्	संकृतम्										
अर्थाः पादरजोपमा गिरिनदीवेगोपमं यौवनम् आयुष्यं जलबिन्दुलोलचपलं फेनोपमं जीवनम्। धर्मं यो न करोति निश्चलमतिः स्वर्गार्गलोद्घाटनं पश्चात्तापहतो जरापरिणतः शोकाग्निना दह्यते	धर्म-कर्तव्यता	संकृतम्										
धर्मात्मा सत्यसन्धश्च रामो दाशरथिर् यदि । पौरुषे चाप्रतिद्वन्द्वः शरैनं जहि रावणिम् ॥	धर्म-प्रभावः	संकृतम्	लक्ष्मणः	रामायणम्								
ऊर्ध्व-बाहुः विरौमि एष न च कश्चित् शृणोति मे ।   धर्मात् अर्थाः च कामः च स किम् अर्थम् न सेव्यते ॥ 	धर्मः	संकृतम्										
अजरामरवत्प्राज्ञो विद्यामर्थं च साधयेत्। गृहीत इव केशेषु मृत्युना धर्ममाचरेत्॥	धर्मः, अदीनता	संकृतम्										
विद्या मित्रं प्रवासेषु भार्या मित्रं गृहेषु च । व्याधितस्यौषधं मित्रं धर्माे मित्रं मृतस्य च ॥	धर्मः, विद्या, प्रवासः	संकृतम्										
द्वेष्योऽपि संमत: शिष्टस्तस्यार्तस्य यथौषधम्। त्याज्यो दुष्ट: प्रियोऽप्यासीदङ्गुलीवोरगक्षता।।	धर्मः, समात्वम्	संकृतम्										
प्रारभ्यते न खलु विघ्नभयेन नीचैः प्रारभ्य विघ्ननिहता विरमन्ति मध्याः ।  विघ्नैः पुनःपुनरपि प्रतिहन्यमानाः प्रारब्धमुत्तमजना न परित्यजन्ति ॥ 	धृतिः	संकृतम्										
भूतैराक्रम्यमाणोऽपि धीरो दैववशानुगै: तद्विद्वान्न चलेन्मार्गादन्वशिक्षं क्षितेर् व्रतम् ॥	धृतिः	संकृतम्										
निन्दन्तु नीतिनिपुणाः यदि वा स्तुवन्तु लक्ष्मीः समाविशतु गच्छतु वा यथेष्टम्।  अद्यैव वा मरणमस्तु युगान्तरे वा न्याय्यात्पथः प्रविचलन्ति पदं न धीराः॥ 	धृतिः, धर्मः, नीतिः	संकृतम्										
अनन्तचरणोपान्तचारिणी मलहारिणी। पुनर्भवच्छेदकरी गङ्गेव नखरञ्जनी॥	नखः											
आर्तनादमधिकं प्रकुर्वतां हस्तपादगलबन्धपीडनात्। यं छिनद्मि नखरं नृणामहं स प्ररोहति पुनर्न जन्मना॥ 	नखः, नापितः 											
अवमानारणिमथितं दुर्वागिन्धनविवर्धितज्वालम्।  सत्पुरुषाः कोपाग्निं ज्ञानाम्बुघटैः प्रशमयन्ति॥	नयः	संकृतम्										
किं किं, सिंहस्, ततः किं, नरसदृशवपुर्देव, चित्रं गृहीतो  नैवं, तत्कोऽत्र, जीव, द्रुतमपनय तं, नन्वयं प्राप्त एव ।  चापं चापं न खड्गं त्वरिततरमहो कर्कशत्वं नखानाम्  इत्थं दैत्याधिराजं निजनखकुलिशैर्जघ्निवान्यः स वोऽव्यात् ॥	नरसिंहः	संकृतम्										
निद्राप्रियो य: खलु कुम्भकर्णो हत: समीके स रघूत्तमेन ।  वैधव्यमापद्यत तस्य कान्ता; श्रोतुं समायाति कथां पुराणम् ॥ 	निद्रा, कथा, जामिता	संकृतम्										
मर्माणि घट्टयित्वा सुप्रीतमनास्तु दुर्जनो भवति। अप्रियमुक्त्वातिभृशं पश्चात्तपतीह खल्वार्यः॥	निन्दा	संकृतम्	सुन्दर-पाण्ड्यः	नीतिद्विषष्टिका								
श्वा यदि दशति मनुष्यान्न ते जनास्तं पुनः प्रतिदशन्ति। यद्याक्रोशति नीचो न सज्जनस्तं वदति किंचित्॥	निन्दा	संकृतम्	सुन्दर-पाण्ड्यः	नीतिद्विषष्टिका								
आक्रुष्टेन मतिमता तत्त्वार्थविचारणे मतिः कार्या। यदि सत्यं कः कोपः स्याद नृतं किं नु कोपेन॥	निन्दा	संकृतम्	सुन्दर-पाण्ड्यः	नीतिद्विषष्टिका								
कटु रटति निकटवर्ती वाचाटष्टिट्टिभो यतस्तस्मात्। अपसरणमेव युक्तं मौनं वा राजहंसस्य॥	निन्दा	संकृतम्										
तीक्ष्णतीक्ष्णाः कथं न स्युर्वचोबाणा दुरात्मनाम् । तेजितास्तेजिता नित्यं मनश्शाणोपले सताम् ॥	निन्दा	संकृतम्	राजारामज-शङ्करः									
रामोऽयमस्माकमतीवमोदनः कपिप्रियाणां गुणरूपचेष्टितैः। हृद्यैरतुल्यातिशयैः सहानुजः किन्त्वस्य नास्मान्सुखयत्यपुच्छता॥ या एव सीतां ददृशुस्तदानीं रूपं मनोज्ञं प्रशशंसुरस्याः। पश्चात् सुपुच्छं त्वनवेक्ष्य जग्मुः परं विषादं कपियोषितस्ताः॥	निराशा, 	संकृतम्										
निन्दतु वा नन्दतु वा. मन्दमनीषा निशम्य कृतिम् एताम्. हर्षं वा मर्षं वा. सर्षपामत्रम् अपि नैव विन्देम.	परप्रीताव् उदासीनता	संकृतम्	परकालमठाधिपः									
ये नाम केचिदिह नः प्रथयन्त्यवज्ञां जानन्ति ते किमपि तान्प्रति नैष यत्नः । उत्पत्स्यते तु मम कोऽपि समानधर्मा  कालो ह्ययं निरवधिर्विपुला च पृथ्वी॥ 	परप्रीताव् उदासीनता, रसिकप्रशंसा	संकृतम्		भवभूतिः								
प्रणवो धनुः शरो ह्यात्मा ब्रह्म तल्लक्ष्यमुच्यते। अप्रमत्तेन वेद्धव्यं शरवत्तन्मयो भवेत्॥	परब्रह्म	संकृतम्										
ध्यानाभ्यासवशीकृतेन मनसा तन्निर्गुणं निष्क्रियं ज्योतिः किञ्चन योगिनो यदि परं पश्यन्ति पश्यन्तु ते ।  अस्माकं तु तदेव लोचनचमत्काराय भूयाच्चिरं कालिन्दीपुलिनोदरे किमपि यन्नीलं महो धावति ॥ 	परब्रह्म, कृष्णः 	संकृतम्										
